accident_id;vehicle;peds;county;month;year;hour;latitude;longitude;harm_ev;lgt_cond;weather;fatals;road_fc;tod;dow;large_truck;speeding;ped_f;pedal;pedal_f;distracted_driver;drowsy_driver
2012040001;1;0;PIMA;1;2012;2;32.18285833;-111.16517778;Rollover/Overturn;Dark - Not Lighted;Clear;1;Local;Nighttime;Weekend;2;1;2;2;2;2;2
2012040002;1;0;YAVAPAI;1;2012;16;34.75831667;-112.05859444;Curb;Daylight;Cloudy;1;Collector;Daytime;Weekend;2;1;2;2;2;2;2
2012040003;1;1;MARICOPA;1;2012;18;33.50790833;-112.20758056;Pedestrian;Dark - Lighted;Clear;1;Collector;Nighttime;Weekend;2;2;1;2;2;2;2
2012040004;2;0;MARICOPA;1;2012;20;33.35022222;-111.73836667;Motor Vehicle In-Transport;Dark - Lighted;Clear;1;Collector;Nighttime;Weekend;2;2;2;2;2;2;2
2012040005;2;0;PIMA;1;2012;0;31.90023889;-110.66463333;Guardrail Face;Dark - Not Lighted;Clear;1;Collector;Nighttime;Weekday;2;1;2;2;2;2;2
2012040006;1;1;MARICOPA;1;2012;9;33.39298889;-111.86569722;Non-Motorist on Personal Conveyance;Daylight;Clear;1;Minor arterial;Daytime;Weekday;2;2;2;2;2;2;2
2012040010;1;0;YAVAPAI;1;2012;17;34.78898611;-111.91963333;Rollover/Overturn;Daylight;Clear;1;Minor arterial;Daytime;Weekday;2;2;2;2;2;2;2
2012040013;1;0;MARICOPA;1;2012;15;33.36423333;-111.85149722;Rollover/Overturn;Daylight;Clear;1;Minor arterial;Daytime;Weekday;2;2;2;2;2;2;2
2012040014;1;1;GRAHAM;1;2012;20;32.81645833;-109.70763056;Pedestrian;Dark - Not Lighted;Clear;1;Minor arterial;Nighttime;Weekday;2;2;1;2;2;2;2
2012040017;2;0;PINAL;1;2012;6;33.280875;-111.15838889;Motor Vehicle In-Transport;Dark - Not Lighted;Cloudy;1;Minor arterial;Daytime;Weekday;2;2;2;2;2;2;2
2012040018;1;1;MARICOPA;1;2012;22;33.5169;-112.11695278;Pedestrian;Dark - Lighted;Clear;1;Collector;Nighttime;Weekday;2;2;1;2;2;2;2
2012040020;2;0;MARICOPA;1;2012;11;33.21895;-111.80656111;Motor Vehicle In-Transport;Daylight;Clear;1;Collector;Daytime;Weekend;2;2;2;2;2;1;2
2012040022;2;0;MOHAVE;1;2012;13;35.22546389;-114.28908056;Motor Vehicle In-Transport;Daylight;Clear;1;Minor arterial;Daytime;Weekend;2;2;2;2;2;1;2
2012040023;3;0;MARICOPA;1;2012;19;33.43722222;-111.73636389;Motor Vehicle In-Transport;Dark - Lighted;Cloudy;1;Minor arterial;Nighttime;Weekend;2;1;2;2;2;2;2
2012040027;3;0;PIMA;1;2012;17;32.32568056;-111.12113889;Motor Vehicle In-Transport;Daylight;Clear;1;Collector;Daytime;Weekday;1;2;2;2;2;2;2
2012040037;4;0;GILA;1;2012;12;34.24483889;-111.32280833;Motor Vehicle In-Transport;Daylight;Clear;1;Minor arterial;Daytime;Weekday;2;1;2;2;2;2;2
2012040038;1;1;NAVAJO;1;2012;4;34.31554722;-109.95424167;Pedestrian;Dark - Not Lighted;Clear;1;Collector;Nighttime;Weekend;2;2;1;2;2;2;2
