id;accident_id;age;sex
1;2012040001;44;m
2;2012040002;65;m
3;2012040004;18;m
4;2012040004;35;m
5;2012040005;20;m
6;2012040005;58;m
7;2012040006;22;w
8;2012040007;61;m
9;2012040008;25;w
10;2012040008;63;m
11;2012040008;63;w
12;2012040009;38;w
13;2012040010;17;w
14;2012040011;25;m
15;2012040012;39;m
16;2012040012;63;w
17;2012040013;53;m
18;2012040014;33;m
19;2012040015;66;w
20;2012040016;74;m
21;2012040017;19;w
22;2012040017;28;w
23;2012040018;25;m
24;2012040019;51;m
25;2012040020;34;m
26;2012040020;56;m
27;2012040021;47;m
28;2012040021;53;m
29;2012040022;72;w
30;2012040022;77;w
31;2012040023;33;m
32;2012040023;47;m
33;2012040023;48;m
34;2012040024;35;m
35;2012040025;29;m
36;2012040026;61;m
37;2012040027;41;w
38;2012040027;42;m
39;2012040027;52;m
40;2012040028;28;m
41;2012040029;55;m
42;2012040030;37;m
43;2012040031;56;m
44;2012040032;32;m
45;2012040033;33;m
46;2012040033;50;m
47;2012040033;59;m
48;2012040034;51;m
49;2012040034;61;m
50;2012040035;35;w
51;2012040036;55;m
52;2012040037;16;w
53;2012040037;17;w
54;2012040037;54;w
55;2012040037;68;w
56;2012040038;28;m
57;2012040039;24;w
58;2012040039;54;m
59;2012040040;61;m
60;2012040041;40;w
61;2012040042;25;m
62;2012040043;51;w
63;2012040043;63;m
64;2012040044;18;m
65;2012040044;52;w
66;2012040045;50;m
67;2012040047;32;m
68;2012040047;42;m
69;2012040048;60;m
70;2012040049;57;m
71;2012040050;21;m
72;2012040051;26;w
73;2012040051;41;m
74;2012040052;49;m
75;2012040052;51;m
76;2012040053;62;w
77;2012040055;30;m
78;2012040055;54;m
79;2012040056;26;m
80;2012040057;48;m
81;2012040057;53;m
82;2012040058;22;m
83;2012040059;68;m
84;2012040060;25;m
85;2012040061;67;m
86;2012040062;48;m
87;2012040062;52;w
88;2012040063;41;m
89;2012040064;38;m
90;2012040065;69;w
91;2012040066;69;m
92;2012040067;17;w
93;2012040068;35;m
94;2012040068;41;m
95;2012040068;45;m
96;2012040069;70;w
97;2012040071;59;m
98;2012040072;32;m
99;2012040073;24;w
100;2012040073;28;m
101;2012040073;37;m
102;2012040073;40;w
103;2012040074;50;m
104;2012040075;36;m
105;2012040075;80;m
106;2012040076;26;m
107;2012040077;61;w
108;2012040078;29;w
109;2012040078;47;m
110;2012040079;17;w
111;2012040080;21;m
112;2012040081;24;w
113;2012040082;48;m
114;2012040083;19;w
115;2012040084;26;m
116;2012040085;40;m
117;2012040085;43;w
118;2012040086;27;m
119;2012040086;39;w
120;2012040087;50;m
121;2012040088;18;w
122;2012040088;24;m
123;2012040088;55;m
124;2012040089;61;m
125;2012040089;69;w
126;2012040090;24;m
127;2012040091;35;w
128;2012040092;53;w
129;2012040092;53;m
130;2012040093;43;m
131;2012040093;66;w
132;2012040094;31;w
133;2012040094;56;w
134;2012040095;24;m
135;2012040096;18;w
136;2012040097;24;m
137;2012040097;45;m
138;2012040099;32;m
139;2012040099;63;w
140;2012040100;49;m
141;2012040100;56;w
142;2012040100;66;m
143;2012040101;22;w
144;2012040101;28;m
145;2012040101;28;m
146;2012040101;49;m
147;2012040102;24;m
148;2012040102;55;m
149;2012040103;22;w
150;2012040104;32;m
151;2012040106;28;m
152;2012040107;44;m
153;2012040108;45;w
154;2012040109;29;m
155;2012040109;51;w
156;2012040110;31;m
157;2012040110;54;m
158;2012040111;51;m
159;2012040111;52;m
160;2012040111;53;m
161;2012040111;74;m
162;2012040112;32;m
163;2012040113;21;m
164;2012040114;22;m
165;2012040115;37;w
166;2012040115;52;w
167;2012040116;46;w
168;2012040117;18;m
169;2012040118;84;m
170;2012040119;55;m
171;2012040120;40;m
172;2012040121;68;m
173;2012040122;22;w
174;2012040123;22;m
175;2012040124;73;w
176;2012040125;35;w
177;2012040125;45;m
178;2012040126;35;m
179;2012040128;33;m
180;2012040128;35;w
181;2012040129;24;m
182;2012040129;61;w
183;2012040130;72;m
184;2012040131;43;w
185;2012040131;57;m
186;2012040132;40;w
187;2012040133;16;m
188;2012040133;55;m
189;2012040134;56;m
190;2012040134;81;m
191;2012040135;72;m
192;2012040135;85;w
193;2012040136;49;m
194;2012040136;70;m
195;2012040137;24;m
196;2012040137;57;m
197;2012040138;21;w
198;2012040140;26;m
199;2012040140;29;m
200;2012040140;31;m
201;2012040142;23;m
202;2012040142;60;m
203;2012040143;60;m
204;2012040144;37;w
205;2012040144;54;m
206;2012040145;47;w
207;2012040145;59;m
208;2012040145;82;w
209;2012040146;72;m
210;2012040147;24;w
211;2012040147;50;m
212;2012040147;74;m
213;2012040148;47;m
214;2012040148;47;m
215;2012040149;59;m
216;2012040150;21;w
217;2012040153;30;w
218;2012040154;23;m
219;2012040155;18;m
220;2012040155;28;m
221;2012040156;50;m
222;2012040157;20;w
223;2012040158;45;m
224;2012040159;52;m
225;2012040160;45;m
226;2012040160;57;m
227;2012040161;38;m
228;2012040161;46;m
